epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.863034,1.27193,1.99882,1.51429,0.63619,0.84535,0.88794,0.61389,1.39355,1.31782,1.25226,0,0,0
2,1.68062,0.94087,1.97166,1.31053,0.63454,0.86071,0.88794,0.60913,1.41886,1.32919,1.26135,1.07219e-06,1.07219e-06,1.07219e-06
3,2.49909,0.77094,1.85153,1.19319,0.59956,0.83333,0.87368,0.60803,1.45288,1.35234,1.27204,1.90876e-06,1.90876e-06,1.90876e-06
4,3.34257,1.12956,3.18017,1.39801,0.62107,0.83333,0.8721,0.60302,1.47335,1.38697,1.27255,2.50971e-06,2.50971e-06,2.50971e-06
5,4.23264,0.91582,1.6276,1.18098,0.68339,0.75,0.87986,0.61748,1.48393,1.42987,1.27583,2.87504e-06,2.87504e-06,2.87504e-06
6,5.12026,1.12193,2.00637,1.3543,0.69544,0.75,0.89387,0.62684,1.49171,1.46036,1.27655,3.00475e-06,3.00475e-06,3.00475e-06
7,5.96217,0.95125,2.04103,1.31638,0.6595,0.75,0.89375,0.60946,1.51224,1.53322,1.2973,2.89884e-06,2.89884e-06,2.89884e-06
8,6.79216,0.86827,1.86642,1.30263,0.89725,0.56667,0.83115,0.58283,1.50913,1.56749,1.3107,2.55731e-06,2.55731e-06,2.55731e-06
9,7.59617,0.90968,1.9575,1.20295,0.69247,0.75,0.81545,0.59678,1.51934,1.60054,1.3131,1.98016e-06,1.98016e-06,1.98016e-06
10,8.40255,0.72364,2.02948,1.14357,0.70258,0.75,0.75945,0.58607,1.52641,1.65594,1.31764,1.16739e-06,1.16739e-06,1.16739e-06
